model,accuracy,f1_score,AUC,hyperparameters
CalibratedClassifierCV_TfidfVectorizer,"[0.6319047619047619, 0.6504761904761904, 0.6366666666666667, 0.6447619047619048, 0.6376190476190476, 0.6666666666666666, 0.6366666666666667, 0.6528571428571428, 0.6290476190476191, 0.63]","[0.6310262529832935, 0.6544256120527306, 0.6361468764902242, 0.6481132075471698, 0.6398485565546617, 0.6701225259189444, 0.6449511400651465, 0.6500240038406145, 0.6327204148986327, 0.6298237255836112]","[0.67956462585034, 0.7036507936507936, 0.6893678004535146, 0.699112925170068, 0.6917160997732427, 0.7255419501133787, 0.6912598639455783, 0.7043600907029479, 0.6847065759637189, 0.6887473922902494]","[{'clf__estimator__C': 1, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}]"
CalibratedClassifierCV_TfidfVectorizer_VP,"[0.8004761904761905, 0.8023809523809524, 0.8080952380952381, 0.799047619047619, 0.8061904761904762, 0.81, 0.8042857142857143, 0.8266666666666667, 0.8014285714285714, 0.8033333333333333]","[0.7980722891566265, 0.7994200096665055, 0.8061568061568062, 0.7957405614714425, 0.803096274794388, 0.8064046579330422, 0.7976366322008862, 0.822265625, 0.797277588721439, 0.8005794302269436]","[0.8552108843537416, 0.8631102040816326, 0.8618875283446712, 0.8570548752834468, 0.8658394557823129, 0.8730739229024942, 0.8684861678004534, 0.881443083900227, 0.8493206349206349, 0.8645886621315193]","[{'clf__estimator__C': 1, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 1.5, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 1, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 1, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 1, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'squared_hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 1, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 1, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 1, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 1, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}]"
CalibratedClassifierCV_TfidfVectorizer_WE1,"[0.6333333333333333, 0.6504761904761904, 0.6366666666666667, 0.6409523809523809, 0.6357142857142857, 0.6661904761904762, 0.6328571428571429, 0.6542857142857142, 0.6261904761904762, 0.6290476190476191]","[0.6326335877862596, 0.6570093457943925, 0.6347534705600766, 0.6460093896713615, 0.6382978723404256, 0.6663493574488338, 0.6392138511932616, 0.6546146527117032, 0.6350534635053463, 0.6274509803921569]","[0.6878938775510204, 0.7067501133786849, 0.6901097505668934, 0.6993732426303854, 0.6914920634920634, 0.7271138321995465, 0.6869850340136054, 0.7057442176870747, 0.6875356009070295, 0.6844725623582766]","[{'clf__estimator__C': 0.5, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}]"
CalibratedClassifierCV_TfidfVectorizer_WE1_VP,"[0.7985714285714286, 0.7985714285714286, 0.8080952380952381, 0.7980952380952381, 0.8052380952380952, 0.8061904761904762, 0.8033333333333333, 0.8285714285714286, 0.7995238095238095, 0.8080952380952381]","[0.7971223021582734, 0.7943607194944093, 0.8055957549445248, 0.7947725072604066, 0.8023199613339778, 0.8005879470847623, 0.7998061076102763, 0.8249027237354085, 0.7957302280446386, 0.8076372315035799]","[0.8566149659863946, 0.863936507936508, 0.8621886621315193, 0.8575210884353742, 0.8658049886621315, 0.8754766439909296, 0.8659555555555555, 0.8822721088435374, 0.8502430839002268, 0.864160544217687]","[{'clf__estimator__C': 1, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 1, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 1, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 1, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 1, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 1, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'squared_hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 1, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 1, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 1.5, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}]"
CalibratedClassifierCV_CountVectorizer,"[0.6052380952380952, 0.6257142857142857, 0.6047619047619047, 0.6204761904761905, 0.6152380952380953, 0.6257142857142857, 0.6176190476190476, 0.6276190476190476, 0.6033333333333334, 0.6252380952380953]","[0.6205949656750572, 0.648479427549195, 0.6213503649635036, 0.63756252842201, 0.6370170709793351, 0.6404391582799634, 0.6423162583518931, 0.6471119133574007, 0.6232473993668024, 0.6434073402809243]","[0.6534068027210884, 0.6804571428571429, 0.6479165532879819, 0.6648943310657596, 0.6532625850340137, 0.6839909297052155, 0.6670947845804989, 0.6655537414965986, 0.6470476190476191, 0.6680997732426304]","[{'clf__estimator__C': 0.5, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 1, 'clf__estimator__loss': 'squared_hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'squared_hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'squared_hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'squared_hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}]"
CalibratedClassifierCV_CountVectorizer_VP,"[0.7871428571428571, 0.78, 0.8080952380952381, 0.7980952380952381, 0.7961904761904762, 0.8038095238095239, 0.7823809523809524, 0.8042857142857143, 0.7819047619047619, 0.7828571428571428]","[0.7839536007733204, 0.7757281553398059, 0.8046534173533689, 0.7963496637848223, 0.7922330097087379, 0.798828125, 0.7826913932477413, 0.8003885381253035, 0.7802303262955854, 0.7824427480916031]","[0.8386639455782313, 0.8357333333333334, 0.8558757369614511, 0.8412081632653061, 0.8485197278911565, 0.8640988662131519, 0.8439047619047618, 0.8615891156462585, 0.8245251700680273, 0.8442349206349206]","[{'clf__estimator__C': 0.5, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'squared_hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'squared_hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'squared_hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'squared_hinge', 'clf__estimator__max_iter': 2000}]"
CalibratedClassifierCV_CountVectorizer_WE1,"[0.6114285714285714, 0.6366666666666667, 0.6161904761904762, 0.6190476190476191, 0.6266666666666667, 0.6323809523809524, 0.6128571428571429, 0.6323809523809524, 0.6090476190476191, 0.6285714285714286]","[0.631768953068592, 0.6598305840392331, 0.6306141154903758, 0.635036496350365, 0.6436363636363637, 0.6445672191528545, 0.6349348899865289, 0.6513098464317977, 0.630013519603425, 0.6454545454545455]","[0.6597124716553286, 0.6914993197278911, 0.6599800453514739, 0.6660181405895691, 0.6671909297052153, 0.6942467120181406, 0.6614639455782313, 0.6704589569160999, 0.6551981859410431, 0.6705877551020408]","[{'clf__estimator__C': 0.5, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 4000}, {'clf__estimator__C': 1, 'clf__estimator__loss': 'squared_hinge', 'clf__estimator__max_iter': 4000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 4000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'squared_hinge', 'clf__estimator__max_iter': 4000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'squared_hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'squared_hinge', 'clf__estimator__max_iter': 4000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}]"
CalibratedClassifierCV_CountVectorizer_WE1_VP,"[0.7880952380952381, 0.780952380952381, 0.8085714285714286, 0.7671428571428571, 0.7942857142857143, 0.8, 0.7761904761904762, 0.800952380952381, 0.7747619047619048, 0.7957142857142857]","[0.7849202513291446, 0.777992277992278, 0.804093567251462, 0.7687943262411348, 0.7909002904162633, 0.7967086156824782, 0.7764034253092293, 0.7964946445959105, 0.7729236677868458, 0.7934520943668752]","[0.8407709750566893, 0.8360607709750567, 0.856671201814059, 0.8267455782312925, 0.8480000000000001, 0.8531718820861678, 0.8419755102040816, 0.8620190476190476, 0.8251256235827664, 0.8527573696145125]","[{'clf__estimator__C': 0.5, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'squared_hinge', 'clf__estimator__max_iter': 4000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 4000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'squared_hinge', 'clf__estimator__max_iter': 4000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'squared_hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'squared_hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'squared_hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}]"
RandomForestClassifier_TfidfVectorizer_WE1_VP,"[0.8076190476190476, 0.8033333333333333, 0.8128571428571428, 0.7947619047619048, 0.8152380952380952, 0.8123809523809524, 0.8033333333333333, 0.8214285714285714, 0.8004761904761905, 0.8038095238095239]","[0.8036929057337221, 0.7956457199406235, 0.8072584600294261, 0.7877892663712457, 0.8086785009861933, 0.8039800995024876, 0.7968519429414658, 0.8140803173029252, 0.7939006394490901, 0.7992202729044834]","[0.8686757369614513, 0.8578829931972789, 0.8608426303854876, 0.8655609977324262, 0.8709873015873015, 0.8801614512471656, 0.8703972789115645, 0.8848226757369615, 0.8572285714285713, 0.8641605442176871]","[{'clf__bootstrap': False, 'clf__criterion': 'entropy', 'clf__max_depth': 60, 'clf__n_estimators': 1200}, {'clf__bootstrap': True, 'clf__criterion': 'entropy', 'clf__max_depth': 60, 'clf__n_estimators': 1200}, {'clf__bootstrap': True, 'clf__criterion': 'log_loss', 'clf__max_depth': 60, 'clf__n_estimators': 1200}, {'clf__bootstrap': False, 'clf__criterion': 'entropy', 'clf__max_depth': 40, 'clf__n_estimators': 1200}, {'clf__bootstrap': False, 'clf__criterion': 'log_loss', 'clf__max_depth': None, 'clf__n_estimators': 1200}, {'clf__bootstrap': True, 'clf__criterion': 'entropy', 'clf__max_depth': 60, 'clf__n_estimators': 1000}, {'clf__bootstrap': True, 'clf__criterion': 'entropy', 'clf__max_depth': 60, 'clf__n_estimators': 1200}, {'clf__bootstrap': False, 'clf__criterion': 'log_loss', 'clf__max_depth': None, 'clf__n_estimators': 800}, {'clf__bootstrap': False, 'clf__criterion': 'entropy', 'clf__max_depth': None, 'clf__n_estimators': 1200}, {'clf__bootstrap': False, 'clf__criterion': 'entropy', 'clf__max_depth': 60, 'clf__n_estimators': 1000}]"
RandomForestClassifier_TfidfVectorizer_WE1,"[0.6428571428571429, 0.6442857142857142, 0.6223809523809524, 0.6428571428571429, 0.64, 0.6652380952380952, 0.6338095238095238, 0.650952380952381, 0.6371428571428571, 0.6152380952380953]","[0.6468926553672316, 0.6536856745479833, 0.6309911586784551, 0.6546961325966851, 0.6473880597014925, 0.676186089359742, 0.6457853523721787, 0.6566744730679157, 0.6452513966480447, 0.6210131332082551]","[0.6949215419501134, 0.6955809523809524, 0.6863464852607709, 0.7023392290249434, 0.6982240362811791, 0.7333741496598639, 0.6904743764172335, 0.7081315192743763, 0.6928204081632653, 0.6726566893424036]","[{'clf__bootstrap': False, 'clf__criterion': 'log_loss', 'clf__max_depth': 40, 'clf__n_estimators': 800}, {'clf__bootstrap': True, 'clf__criterion': 'log_loss', 'clf__max_depth': 40, 'clf__n_estimators': 1000}, {'clf__bootstrap': False, 'clf__criterion': 'entropy', 'clf__max_depth': 60, 'clf__n_estimators': 1200}, {'clf__bootstrap': False, 'clf__criterion': 'log_loss', 'clf__max_depth': 60, 'clf__n_estimators': 800}, {'clf__bootstrap': True, 'clf__criterion': 'entropy', 'clf__max_depth': 40, 'clf__n_estimators': 1200}, {'clf__bootstrap': False, 'clf__criterion': 'log_loss', 'clf__max_depth': 40, 'clf__n_estimators': 1000}, {'clf__bootstrap': True, 'clf__criterion': 'entropy', 'clf__max_depth': 60, 'clf__n_estimators': 1200}, {'clf__bootstrap': True, 'clf__criterion': 'entropy', 'clf__max_depth': 40, 'clf__n_estimators': 1200}, {'clf__bootstrap': False, 'clf__criterion': 'log_loss', 'clf__max_depth': None, 'clf__n_estimators': 1200}, {'clf__bootstrap': False, 'clf__criterion': 'entropy', 'clf__max_depth': 20, 'clf__n_estimators': 1000}]"
